"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631260859464E9,"2025-03-10 19:27:40.859 UTC+01:00"
"PAUSE",2.328450812492520E1,1.741631284143824E9,"2025-03-10 19:28:04.144 UTC+01:00"
