"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631494603381E9,"2025-03-10 19:31:34.603 UTC+01:00"
"PAUSE",2.280015070829540E1,1.741631517403757E9,"2025-03-10 19:31:57.404 UTC+01:00"
