"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.907313542E0,7.334747314E-1,-3.573069763E-1,9.606273651E0
3.956926542E0,5.373825073E-2,3.261717224E-1,9.909243622E0
4.006538542E0,6.837780762E-1,-3.920347595E-1,9.227561188E0
4.056151542E0,5.289999390E-1,2.724334717E-2,9.821226654E0
4.105764542E0,3.444337463E-1,-1.441502380E-1,9.600585480E0
4.155376250E0,4.288581848E-1,1.356179810E-1,9.822424164E0
4.204989250E0,3.511697388E-1,1.224453735E-1,9.765542450E0
4.254602250E0,1.246907043E-1,-3.463796997E-1,9.449399872E0
4.304214250E0,3.917353821E-1,-1.779798889E-1,9.735305328E0
4.353827250E0,2.107617188E-1,2.896476746E-1,9.892029419E0
4.403440250E0,3.662882996E-1,6.301895142E-2,9.690249023E0
4.453052250E0,2.495310974E-1,-6.286926270E-2,9.695488129E0
4.502665250E0,3.658392334E-1,-2.043251038E-1,9.746382294E0
4.552277250E0,5.159770203E-1,-1.781295776E-2,9.626631317E0
4.601890250E0,2.492317200E-1,-3.278182983E-2,9.645641785E0
4.651503250E0,6.451583862E-1,-8.637039185E-2,9.798923035E0
4.701115250E0,-3.100053406E-1,-3.646417236E-1,9.564061432E0
4.750728250E0,5.716612244E-1,8.457412720E-2,1.008946884E1
4.800341250E0,3.914360046E-1,-1.926493835E-1,9.670041046E0
4.849953250E0,5.105882263E-1,-1.049317932E-1,9.409582672E0
4.899566250E0,6.521937561E-1,-1.466949463E-2,9.628128204E0
4.949179250E0,-1.347198486E-2,-3.170407104E-1,9.426647186E0
4.998791250E0,5.902226257E-1,-1.004411316E-1,1.002225861E1
5.048404250E0,2.411485291E-1,-3.823049927E-1,9.547296295E0
5.098016250E0,2.210902405E-1,-1.431024170E-1,9.819580078E0
5.147630167E0,2.643502808E-1,-2.772235107E-1,9.691147156E0
5.197243167E0,2.118095398E-1,-2.921923828E-1,9.852212219E0
5.246855167E0,4.921765137E-1,-3.315605164E-1,9.689799957E0
5.296468167E0,1.236428833E-1,-3.094065857E-1,9.642648010E0
5.346081167E0,3.722758484E-1,-2.116598511E-1,9.621990967E0
5.395693167E0,4.819976807E-1,-2.930905151E-1,9.832153931E0
5.445306167E0,7.484436035E-3,-1.052311707E-1,9.753866730E0
5.494918167E0,6.562353516E-1,-4.607418823E-1,9.454040222E0
5.544531167E0,1.773811340E-1,-4.207749939E-1,9.769434357E0
5.594144167E0,4.677772522E-1,-2.746788025E-1,9.711804199E0
5.643756167E0,6.926097107E-1,-3.761677551E-1,9.781259766E0
5.693369167E0,4.328997803E-1,-2.044747925E-1,9.589508514E0
5.742981167E0,6.532415771E-1,-1.682501221E-1,9.767937469E0
5.792594167E0,1.848655701E-1,-2.299218750E-1,9.553732910E0
5.842207167E0,6.370751953E-1,-3.074606323E-1,9.610614624E0
5.891819167E0,-1.243913269E-1,-2.061213684E-1,9.717642059E0
5.941432167E0,5.298980713E-1,-2.969824219E-1,9.789792023E0
5.991044167E0,2.393522644E-1,-3.980223083E-1,9.585466919E0
6.040657167E0,6.577322388E-1,-1.381626892E-1,9.968220978E0
6.090270167E0,2.511776733E-1,-4.626878357E-1,9.562265167E0
6.139881917E0,6.873706055E-1,-5.942642212E-2,9.859696655E0
6.189494917E0,4.947212219E-1,-4.186793518E-1,9.611961823E0
6.239106917E0,1.724414062E-1,-3.688330078E-1,9.617949371E0
6.288719917E0,4.478686523E-1,-1.610650635E-1,9.942923584E0
6.338332917E0,3.619473267E-1,-2.733316040E-1,9.724677429E0
6.387944917E0,2.291734314E-1,-4.746629333E-1,9.626631317E0
6.437557917E0,4.234693909E-1,-4.694238281E-1,9.712253265E0
6.487169917E0,3.767665100E-1,-4.019142151E-1,9.742490387E0
6.536782917E0,5.746549988E-1,3.772155762E-2,9.919123077E0
6.586395917E0,5.825885010E-1,-6.391708374E-2,9.984537048E0
6.636007917E0,3.878434753E-1,-2.543211365E-1,9.615254974E0
6.685620917E0,1.145268402E0,-4.225712585E-1,9.949210510E0
6.735232917E0,5.125341797E-1,-9.009764099E-1,9.685758362E0
6.784845917E0,2.447410583E-1,-9.716294861E-1,9.545200653E0
6.834457917E0,2.230361938E-2,4.251159668E-2,9.483229523E0
6.884070917E0,1.175655212E0,-2.724334717E-1,9.814640350E0
6.933683917E0,9.716294861E-1,-5.134323120E-1,1.001163071E1
6.983295917E0,-8.472381592E-2,-3.550616455E-1,1.022329056E1
7.032908917E0,1.347198486E-2,-8.535250854E-1,9.535770264E0
7.082520917E0,2.894979858E-1,-7.649093628E-1,9.735155640E0
7.132133917E0,1.045126648E0,-4.258644104E-1,9.991871796E0
7.181746167E0,-1.038839722E-1,-6.957531738E-1,9.265881500E0
7.231359167E0,8.571176147E-1,-6.081852722E-1,9.895621948E0
7.280972167E0,8.397537231E-1,-6.138734436E-1,9.581724701E0
7.330584167E0,7.358697510E-1,-3.409909058E-1,9.742340698E0
7.380197167E0,6.875202942E-1,-5.580395508E-1,9.691895599E0
7.429809167E0,1.196312256E0,-6.089337158E-1,9.514364777E0
7.479422167E0,6.698570251E-1,-5.315446472E-1,9.769134979E0
7.529034167E0,6.646179199E-1,-8.276289368E-1,9.380543060E0
7.578647167E0,1.263223114E0,-9.297166443E-1,9.368717651E0
7.628260167E0,2.453398132E-1,-6.309379578E-1,9.416468353E0
