"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631529761975E9,"2025-03-10 19:32:09.762 UTC+01:00"
"PAUSE",3.349428441654891E1,1.741631563256047E9,"2025-03-10 19:32:43.256 UTC+01:00"
