"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.872958202E-3,4.580097198E0,1.260650635E1,-4.805468750E1
5.788137484E-2,4.001304626E0,1.263668823E1,-4.806994629E1
1.078893750E-1,3.546855927E0,1.284463501E1,-4.786755371E1
1.578973748E-1,3.240978241E0,1.274560547E1,-4.825701904E1
2.079053749E-1,3.101284027E0,1.295414734E1,-4.802539062E1
2.579133750E-1,2.628284454E0,1.312495422E1,-4.829095459E1
3.079213749E-1,2.361450195E0,1.354429626E1,-4.804840088E1
3.579293750E-1,2.587116241E0,1.370582581E1,-4.799884033E1
4.079373749E-1,2.465045929E0,1.375758362E1,-4.790924072E1
4.579463750E-1,2.250503540E0,1.428947449E1,-4.809216309E1
5.079543749E-1,2.084300995E0,1.459387207E1,-4.804455566E1
5.579623750E-1,2.110797882E0,1.434263611E1,-4.818963623E1
6.079703749E-1,2.160476685E0,1.435832214E1,-4.791967773E1
6.579783750E-1,2.115161896E0,1.467874146E1,-4.775701904E1
7.079863749E-1,2.181938171E0,1.452572632E1,-4.778887939E1
7.579943750E-1,1.829139709E0,1.479560852E1,-4.762982178E1
8.080023748E-1,1.748435974E0,1.491979980E1,-4.732092285E1
8.580103749E-1,1.806884766E0,1.490475464E1,-4.748394775E1
9.080183750E-1,1.652080536E0,1.503741455E1,-4.741851807E1
9.580263749E-1,1.567104340E0,1.494792175E1,-4.757916260E1
1.008034375E0,1.702289581E0,1.495301819E1,-4.754174805E1
1.058042333E0,1.319904327E0,1.511918640E1,-4.747271729E1
1.108050333E0,1.234638214E0,1.502304077E1,-4.737701416E1
1.158058333E0,9.193878174E-1,1.529600525E1,-4.759631348E1
1.208066333E0,8.816413879E-1,1.529818726E1,-4.758990479E1
1.258074333E0,9.255943298E-1,1.539848328E1,-4.728558350E1
1.308082333E0,8.874244690E-1,1.554798889E1,-4.719152832E1
1.358090333E0,9.406509399E-1,1.554943848E1,-4.756805420E1
1.408098333E0,1.058059692E0,1.572845459E1,-4.757824707E1
1.458106333E0,1.014419556E0,1.590065002E1,-4.735949707E1
1.508114333E0,1.394508362E0,1.570010376E1,-4.712908936E1
1.558122333E0,1.220073700E0,1.573710632E1,-4.741094971E1
1.608130333E0,1.179672241E0,1.564076233E1,-4.709942627E1
1.658138333E0,1.014648438E0,1.584124756E1,-4.758941650E1
1.708146333E0,1.138298035E0,1.581996155E1,-4.731512451E1
1.758154333E0,9.710006714E-1,1.566596985E1,-4.751721191E1
