"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.262916580E-4,2.225948334E0,1.327725220E1,-5.131304932E1
5.032729148E-2,1.727447510E0,1.329853821E1,-5.144366455E1
1.003292915E-1,1.846172333E0,1.305238342E1,-5.152587891E1
1.503302916E-1,1.649349213E0,1.350584412E1,-5.144122314E1
2.003312916E-1,1.801670074E0,1.351499939E1,-5.122576904E1
2.503332915E-1,1.767879486E0,1.373695374E1,-5.095849609E1
3.003342915E-1,1.736106873E0,1.387553406E1,-5.140795898E1
3.503352916E-1,1.660018921E0,1.416052246E1,-5.100122070E1
4.003372916E-1,1.658596039E0,1.382353210E1,-5.131048584E1
4.503382915E-1,1.498828888E0,1.400991821E1,-5.135980225E1
5.003396666E-1,1.471370697E0,1.407142639E1,-5.121704102E1
5.503416667E-1,1.277393341E0,1.398765564E1,-5.125347900E1
6.003426665E-1,1.147922516E0,1.408813477E1,-5.128784180E1
6.503436666E-1,1.009658813E0,1.427850342E1,-5.123992920E1
7.003456666E-1,1.002666473E0,1.440226746E1,-5.100982666E1
7.503466667E-1,7.301559448E-1,1.444624329E1,-5.110357666E1
8.003476665E-1,8.033409119E-1,1.465635681E1,-5.111895752E1
8.503496666E-1,8.924751282E-1,1.462252808E1,-5.121582031E1
9.003506666E-1,8.279647827E-1,1.436537170E1,-5.117694092E1
9.503526667E-1,6.979560852E-1,1.480500793E1,-5.118688965E1
1.000353666E0,9.145889282E-1,1.463899231E1,-5.117089844E1
1.050354667E0,7.832031250E-1,1.458306885E1,-5.109710693E1
1.100356667E0,8.735275269E-1,1.461750793E1,-5.112451172E1
1.150357667E0,7.863960266E-1,1.482749939E1,-5.147894287E1
1.200358666E0,7.017364502E-1,1.446063232E1,-5.137426758E1
1.250360667E0,7.144050598E-1,1.477769470E1,-5.103802490E1
1.300361667E0,7.661857605E-1,1.464456177E1,-5.104046631E1
1.350362667E0,7.451477051E-1,1.473365784E1,-5.096734619E1
1.400364666E0,6.618690491E-1,1.484944153E1,-5.116699219E1
1.450365667E0,4.459304810E-1,1.468925476E1,-5.112579346E1
1.500366042E0,4.508323669E-1,1.462506104E1,-5.121942139E1
1.550368041E0,3.639869690E-1,1.499313354E1,-5.099249268E1
1.600369042E0,4.566726685E-1,1.486431885E1,-5.095001221E1
1.650370042E0,4.037322998E-1,1.501318359E1,-5.115374756E1
1.700372042E0,3.720970154E-1,1.477301025E1,-5.113110352E1
1.750373041E0,1.928062439E-1,1.519599915E1,-5.095538330E1
1.800374042E0,2.601852417E-1,1.501861572E1,-5.129089355E1
1.850376042E0,2.014503479E-1,1.511898804E1,-5.102343750E1
1.900377042E0,2.283020020E-1,1.496273804E1,-5.096112061E1
1.950378041E0,2.716712952E-1,1.488153076E1,-5.119354248E1
2.000380042E0,3.907775879E-2,1.508523560E1,-5.106671143E1
2.050381042E0,9.288406372E-2,1.512364197E1,-5.102514648E1
2.100383042E0,1.075401306E-1,1.492672729E1,-5.120336914E1
2.150384041E0,-7.411193848E-2,1.504046631E1,-5.113189697E1
2.200385042E0,1.942901611E-1,1.488337708E1,-5.079113770E1
2.250387042E0,4.706573486E-2,1.484620667E1,-5.100024414E1
2.300388042E0,1.504936218E-1,1.503675842E1,-5.105023193E1
2.350389041E0,-1.664276123E-1,1.499786377E1,-5.105163574E1
2.400391042E0,-1.226806641E-2,1.465617371E1,-5.135394287E1
2.450392042E0,3.856658936E-3,1.488421631E1,-5.094024658E1
2.500393208E0,-9.280776978E-2,1.498783875E1,-5.119323730E1
2.550395208E0,-1.896095276E-1,1.517060852E1,-5.080328369E1
2.600396208E0,-2.581634521E-1,1.486430359E1,-5.113769531E1
2.650398208E0,-2.763557434E-1,1.506854248E1,-5.094152832E1
2.700399208E0,-1.702117920E-2,1.484521484E1,-5.094732666E1
2.750400208E0,-1.744766235E-1,1.492883301E1,-5.106518555E1
2.800402208E0,3.578186035E-3,1.505236816E1,-5.081890869E1
2.850403208E0,-1.546173096E-1,1.483538818E1,-5.126855469E1
2.900404208E0,-2.712249756E-3,1.487704468E1,-5.100683594E1
2.950406208E0,-9.592056274E-2,1.520133972E1,-5.095117188E1
3.000407208E0,-1.004638672E-1,1.486346436E1,-5.088018799E1
3.050409208E0,-1.071166992E-1,1.506568909E1,-5.083819580E1
3.100410208E0,-8.098983765E-2,1.518627930E1,-5.075854492E1
3.150411208E0,1.127548218E-1,1.491578674E1,-5.102160645E1
3.200413208E0,8.114624023E-2,1.498033142E1,-5.115222168E1
3.250414208E0,1.061515808E-1,1.534442139E1,-5.060400391E1
3.300415208E0,1.268959045E-1,1.508972168E1,-5.066387939E1
3.350417208E0,3.181686401E-1,1.510678101E1,-5.070684814E1
3.400418208E0,1.571540833E-1,1.530413818E1,-5.090197754E1
3.450420208E0,4.195556641E-1,1.523323059E1,-5.105261230E1
3.500421416E0,4.972229004E-1,1.497776794E1,-5.116973877E1
3.550422417E0,3.767852783E-1,1.518460083E1,-5.106976318E1
3.600424417E0,4.148597717E-1,1.529946899E1,-5.086047363E1
3.650425417E0,3.665809631E-1,1.511709595E1,-5.090240479E1
3.700427416E0,2.049903870E-1,1.531843567E1,-5.108642578E1
3.750428417E0,2.452354431E-1,1.531906128E1,-5.110736084E1
3.800429417E0,2.158889771E-1,1.510667419E1,-5.101379395E1
3.850431417E0,3.126678467E-1,1.514112854E1,-5.102581787E1
3.900432416E0,2.927703857E-1,1.506846619E1,-5.088873291E1
3.950434417E0,5.153274536E-1,1.512216187E1,-5.109893799E1
4.000435417E0,4.809951782E-1,1.498048401E1,-5.111700439E1
4.050436417E0,4.562759399E-1,1.511134338E1,-5.102362061E1
4.100438416E0,3.187751770E-1,1.497393799E1,-5.102587891E1
4.150439417E0,6.417999268E-1,1.503488159E1,-5.101629639E1
4.200441417E0,4.685935974E-1,1.508068848E1,-5.086145020E1
4.250442417E0,4.181251526E-1,1.478419495E1,-5.136993408E1
4.300443417E0,4.426460266E-1,1.508552551E1,-5.096856689E1
4.350445417E0,3.853149414E-1,1.501985168E1,-5.104418945E1
4.400446417E0,2.760200500E-1,1.489709473E1,-5.085723877E1
4.450448417E0,1.362609863E-1,1.502792358E1,-5.113781738E1
4.500449417E0,3.292465210E-1,1.517160034E1,-5.095776367E1
4.550451417E0,3.606872559E-1,1.486898804E1,-5.131793213E1
4.600452417E0,3.586959839E-1,1.516001892E1,-5.100689697E1
4.650453417E0,2.090110779E-1,1.508183289E1,-5.088195801E1
4.700455417E0,3.651809692E-1,1.504176331E1,-5.106896973E1
4.750456417E0,3.043403625E-1,1.494667053E1,-5.108892822E1
4.800458417E0,1.477890015E-1,1.491882324E1,-5.114984131E1
4.850459417E0,2.777824402E-1,1.520732117E1,-5.092120361E1
4.900460417E0,2.661705017E-1,1.503968811E1,-5.125091553E1
4.950462417E0,2.036705017E-1,1.510432434E1,-5.105474854E1
5.000463417E0,2.583885193E-1,1.486447144E1,-5.091058350E1
5.050465417E0,3.838195801E-1,1.492639160E1,-5.111474609E1
5.100466417E0,1.927032471E-1,1.503256226E1,-5.116729736E1
5.150467417E0,3.232955933E-1,1.479576111E1,-5.130828857E1
5.200469417E0,2.009620667E-1,1.488130188E1,-5.094470215E1
5.250470417E0,1.228179932E-1,1.504330444E1,-5.085656738E1
5.300471417E0,2.171974182E-1,1.507495117E1,-5.093969727E1
5.350473417E0,1.450958252E-1,1.490603638E1,-5.084875488E1
5.400474417E0,-1.225967407E-1,1.522537231E1,-5.085223389E1
5.450476417E0,1.795387268E-1,1.520684814E1,-5.072869873E1
5.500477042E0,3.485870361E-2,1.505136108E1,-5.134814453E1
5.550478042E0,1.704711914E-1,1.506979370E1,-5.105535889E1
5.600480041E0,1.913146973E-1,1.510188293E1,-5.081042480E1
5.650481042E0,1.253128052E-1,1.483662415E1,-5.086474609E1
5.700482042E0,2.788963318E-1,1.503903198E1,-5.091845703E1
5.750484042E0,3.031616211E-1,1.490957642E1,-5.096520996E1
5.800485042E0,2.379302979E-1,1.495323181E1,-5.084588623E1
5.850486042E0,2.769355774E-1,1.490513611E1,-5.093280029E1
5.900487042E0,1.450080872E-1,1.495797729E1,-5.090008545E1
5.950489042E0,9.275817871E-2,1.475653076E1,-5.127062988E1
6.000490042E0,-1.257667542E-1,1.519761658E1,-5.076611328E1
6.050491042E0,9.367752075E-2,1.511349487E1,-5.102563477E1
6.100493042E0,8.931732178E-2,1.489068604E1,-5.085076904E1
6.150494042E0,3.223915100E-1,1.495429993E1,-5.127349854E1
6.200495042E0,1.376304626E-1,1.494779968E1,-5.125158691E1
6.250496041E0,1.240425110E-1,1.522027588E1,-5.098480225E1
6.300498042E0,1.255111694E-1,1.485488892E1,-5.118939209E1
6.350499042E0,1.079559326E-1,1.517930603E1,-5.097564697E1
