"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.924708443E-3,-8.167016602E-1,4.858895874E-1,1.008857071E1
4.907629150E-2,1.272354126E-2,4.984634399E-2,9.873168640E0
9.907829156E-2,-8.464897156E-1,6.984475708E-1,9.607022095E0
1.490792916E-1,-6.233038330E-1,-5.388793945E-3,1.026131149E1
1.990802917E-1,-1.175505524E0,3.255729675E-1,9.884095917E0
2.490822915E-1,-1.555265808E-1,-2.544708252E-3,9.380992126E0
2.990832916E-1,-3.110531616E-1,-1.065783691E-1,1.054721695E1
3.490842916E-1,-1.628613281E-1,1.919009399E-1,1.000130219E1
3.990862917E-1,-3.659889221E-1,-1.529818726E-1,9.835596771E0
4.490872915E-1,-5.297483826E-1,1.634600830E-1,1.017913239E1
4.990886666E-1,-2.200424194E-1,-1.791773987E-1,9.611213379E0
5.490906665E-1,-3.608995056E-1,5.373825073E-2,9.947414246E0
5.990916665E-1,-3.424877930E-1,-6.541397095E-2,9.622440033E0
6.490926666E-1,-1.237925720E-1,4.086502075E-2,9.887389069E0
6.990946666E-1,-1.410067749E-1,-6.391708374E-2,9.620494080E0
7.490956667E-1,-2.662962341E-1,-9.999206543E-2,9.815388794E0
7.990966665E-1,-2.062710571E-1,5.658233643E-2,9.945168915E0
8.490986666E-1,-7.544311523E-2,-7.993377686E-2,1.017598892E1
8.990996666E-1,-3.411405945E-1,-6.586303711E-2,9.812095642E0
9.491016667E-1,-2.577639771E-1,-3.023712158E-2,9.832752686E0
9.991026665E-1,-1.772314453E-1,-1.631607056E-2,9.993967438E0
1.049103667E0,-2.430944824E-1,-1.624122620E-1,9.787546692E0
1.099105667E0,-1.555265808E-1,3.308120728E-2,9.854457550E0
1.149106667E0,-2.758763123E-1,-8.741821289E-2,9.763746185E0
1.199107666E0,-7.185058594E-2,-1.242416382E-2,9.991871796E0
1.249109667E0,-2.228865051E-1,-1.046324158E-1,9.802964630E0
1.299110667E0,-6.721023560E-2,-7.873626709E-2,9.980495453E0
1.349111667E0,-2.041754150E-1,-2.365081787E-2,9.742640076E0
1.399113666E0,-7.274871826E-2,-1.281335449E-1,9.928553467E0
1.449114667E0,-1.589694214E-1,-6.541397095E-2,1.001043320E1
1.499115042E0,-1.504371643E-1,-1.204994202E-1,9.393715668E0
1.549117042E0,-7.708969116E-2,-5.194198608E-2,1.018586838E1
1.599118042E0,-3.167413330E-1,-1.718426514E-1,9.619895325E0
1.649119042E0,1.468446350E-1,-1.302291870E-2,1.053958282E1
1.699121042E0,-3.742218018E-1,-1.197509766E-1,9.648785248E0
1.749122042E0,-1.422042847E-1,-9.101074219E-2,9.715097351E0
1.799123042E0,-2.020797729E-2,-7.858657837E-2,1.009725266E1
1.849125042E0,-2.462379456E-1,-4.775070190E-2,9.676178284E0
1.899126042E0,-1.197509766E-2,-1.880090332E-1,1.024454636E1
1.949127042E0,-7.768844604E-2,-1.417552185E-1,9.681716766E0
1.999129042E0,-1.874102783E-1,8.547225952E-2,9.795180817E0
2.049130042E0,-5.388793945E-2,-1.667532349E-1,1.012180161E1
2.099132042E0,-1.649569702E-1,3.293151855E-3,9.763895874E0
2.149133042E0,-1.945953369E-2,-7.813751221E-2,9.841434631E0
2.199134042E0,-1.865121460E-1,-2.615061951E-1,1.020188507E1
2.249136042E0,-4.760101318E-2,1.571731567E-2,9.638606415E0
2.299137042E0,-2.859054565E-2,-1.076261902E-1,9.956545258E0
2.349138041E0,-2.754272461E-2,6.286926270E-3,9.982142029E0
2.399140042E0,-9.729766846E-2,-1.315763855E-1,9.550439758E0
2.449141042E0,-1.014889526E-1,-1.070274353E-1,1.016715729E1
2.499142208E0,4.640350342E-3,-5.658233643E-2,9.627978516E0
2.549144208E0,-2.380050659E-2,-9.639953613E-2,1.024260040E1
2.599145208E0,3.742218018E-2,-2.035766602E-2,9.883197784E0
2.649147208E0,6.586303711E-2,-1.562750244E-1,9.736802216E0
2.699148208E0,-7.813751221E-2,-6.735992432E-2,1.018616776E1
2.749149208E0,4.460723877E-2,-2.649490356E-2,9.747879181E0
2.799151208E0,-1.733395386E-1,-1.456471252E-1,9.841434631E0
2.849152208E0,6.047424316E-2,-6.047424316E-2,9.742939453E0
2.899153208E0,-1.672023010E-1,-1.676513672E-1,9.824968872E0
2.949155208E0,1.076261902E-1,-9.759704590E-2,1.009156448E1
2.999156208E0,-6.361770630E-2,-4.206253052E-2,9.875413971E0
3.049158208E0,1.032852173E-2,-1.176553345E-1,9.742490387E0
3.099159208E0,-1.850152588E-1,-1.204994202E-1,1.008707382E1
3.149160208E0,-3.502716064E-2,-1.495390320E-1,9.627828827E0
3.199162208E0,-2.918930054E-2,-5.688171387E-3,1.000339783E1
3.249163208E0,6.286926270E-2,-1.547781372E-1,9.932595062E0
3.299164208E0,-3.532653809E-2,-1.874102783E-1,9.889484711E0
3.349166208E0,-8.547225952E-2,-1.061293030E-1,9.799821167E0
3.399167208E0,2.409988403E-2,-1.079255676E-1,9.827663269E0
3.449169208E0,-4.954696655E-2,-2.215393066E-2,9.813742218E0
3.499170417E0,-7.559280396E-2,-9.190887451E-2,9.874216461E0
3.549171417E0,-1.372645569E-1,-1.583706665E-1,9.770482178E0
3.599173417E0,-3.637435913E-2,-3.876937866E-2,9.905800781E0
3.649174417E0,-1.859133911E-1,-1.166075134E-1,9.863139496E0
3.699176416E0,9.280700684E-3,-1.309776306E-1,9.586215363E0
3.749177417E0,-1.936972046E-1,-1.348695374E-1,1.015593063E1
3.799178417E0,-8.068222046E-2,-3.936813354E-2,9.906549225E0
3.849180417E0,-1.369651794E-1,-3.367996216E-1,9.598938904E0
3.899181416E0,-5.149291992E-2,-3.592529297E-3,9.966275024E0
3.949183417E0,-1.763333130E-1,-1.749861145E-1,9.794731750E0
3.999184417E0,3.742218018E-2,-1.299298096E-1,9.858948212E0
4.049185417E0,-2.094145203E-1,-7.918533325E-2,9.947563934E0
4.099187416E0,-5.912704468E-2,-1.591191101E-1,9.725276184E0
4.149188417E0,-1.508862305E-1,-1.133143616E-1,1.006956024E1
4.199190417E0,-9.475296021E-2,-5.254074097E-2,9.853409729E0
4.249191417E0,-9.894424438E-2,-1.604663086E-1,1.010309052E1
4.299192416E0,-1.856140137E-2,-1.032852173E-1,9.658365326E0
4.349194417E0,-1.190025330E-1,-1.405577087E-1,1.014605118E1
4.399195417E0,-6.706054688E-2,-9.639953613E-2,9.750872955E0
4.449197417E0,-9.460327148E-2,-8.472381592E-2,9.705367584E0
4.499198416E0,1.631607056E-2,-1.041833496E-1,1.001013382E1
4.549200417E0,-2.022294617E-1,-1.187031555E-1,9.703122253E0
4.599201417E0,4.161346436E-2,-1.163081360E-1,9.967921600E0
4.649202417E0,-8.173004150E-2,-7.364685059E-2,9.688303070E0
4.699204416E0,-1.079255676E-1,-1.354682922E-1,9.926008759E0
4.749205417E0,-1.835183716E-1,-1.228944397E-1,9.765542450E0
4.799207417E0,-1.496887207E-3,-1.207987976E-1,9.859397278E0
4.849208417E0,-1.442999268E-1,-1.404080200E-1,9.831704865E0
4.899209416E0,5.763015747E-2,2.020797729E-2,9.752669220E0
4.949211417E0,-2.508782959E-1,-6.137237549E-2,1.007929001E1
4.999212417E0,3.697311401E-2,-8.217910767E-2,9.874815216E0
5.049214417E0,-8.397537231E-2,-1.901046753E-1,9.791737976E0
5.099215416E0,-1.091230774E-1,-1.037342834E-1,9.881551208E0
5.149216417E0,2.993774414E-2,5.149291992E-2,9.810898132E0
5.199218417E0,-1.610650635E-1,-1.905537415E-1,9.867031403E0
5.249219417E0,5.448669434E-2,-6.062393188E-2,9.824968872E0
5.299220417E0,-1.212478638E-1,-2.005828857E-2,9.874216461E0
5.349222417E0,-1.007405090E-1,-1.570234680E-1,9.731712799E0
5.399223417E0,-8.876541138E-2,-4.131408691E-2,9.838889923E0
5.449225417E0,-7.873626709E-2,-1.856140137E-2,1.023975632E1
5.499226042E0,-9.355545044E-2,-1.422042847E-1,9.543404388E0
5.549227042E0,1.212478638E-2,-1.429527283E-1,1.000025436E1
5.599229041E0,-2.679428101E-2,-2.739303589E-2,9.981842651E0
5.649230042E0,-1.185534668E-1,-1.086740112E-1,9.917626190E0
5.699231042E0,-7.514373779E-2,-1.234931946E-1,9.731862488E0
5.749233042E0,-4.520599365E-2,-1.175056458E-1,9.830806732E0
5.799234041E0,4.266128540E-2,-4.490661621E-2,1.003213806E1
5.849235042E0,-8.681945801E-2,-7.229965210E-2,9.741442566E0
5.899236042E0,-1.089733887E-1,-1.498384094E-1,9.964179382E0
5.949238042E0,-1.001417542E-1,-5.089416504E-2,9.891879730E0
5.999239041E0,-1.112187195E-1,-9.714797974E-2,9.766739960E0
6.049240042E0,-1.637594604E-1,-6.122268677E-2,1.009545639E1
6.099242042E0,1.580712891E-1,-7.259902954E-2,9.718989258E0
6.149243042E0,-1.881587219E-1,-1.405577087E-1,9.894723816E0
6.199244042E0,5.433700562E-2,-4.086502075E-2,1.002689896E1
6.249245042E0,-1.408570862E-1,-1.523831177E-1,9.774374084E0
6.299247042E0,1.347198486E-3,-4.191284180E-2,9.888287201E0
6.349248042E0,-1.375639343E-1,-1.302291870E-1,9.848919067E0
6.399249042E0,-5.089416504E-3,-8.427474976E-2,9.888885956E0
6.449250042E0,-1.639091492E-1,-7.723937988E-2,9.814490662E0
6.499252292E0,-8.442443848E-2,-1.422042847E-1,9.827812958E0
6.549253292E0,-1.945953369E-2,-3.293151855E-3,9.967023468E0
6.599254292E0,-8.622070312E-2,-1.203497314E-1,9.724677429E0
6.649255292E0,-1.320254517E-1,-6.182144165E-2,9.973460083E0
6.699257292E0,-1.031355286E-1,-5.074447632E-2,9.934091949E0
6.749258292E0,-1.489402771E-1,-1.754351807E-1,9.863588562E0
6.799259291E0,-7.514373779E-2,-1.320254517E-1,9.893077240E0
6.849260292E0,-7.005432129E-2,-1.871109009E-2,9.869276733E0
6.899261292E0,-1.673519897E-1,-1.666035461E-1,9.991422729E0
6.949263292E0,-7.514373779E-2,-8.277786255E-2,9.647737427E0
6.999264291E0,-2.155517578E-2,-2.918930054E-2,1.025786865E1
7.049265292E0,-2.059716797E-1,-1.691482544E-1,9.657916260E0
7.099266292E0,4.011657715E-2,-1.203497314E-1,1.000190094E1
7.149267292E0,-2.107617188E-1,-1.044827271E-1,9.946366425E0
7.199268291E0,-9.430389404E-3,-1.098715210E-1,9.776619415E0
7.249270292E0,-1.808239746E-1,-1.007405090E-1,1.003258713E1
7.299271292E0,-3.966751099E-2,-1.600172424E-1,9.688153381E0
7.349272292E0,-1.410067749E-1,-1.073268127E-1,1.000654129E1
7.399273291E0,-8.756790161E-2,-1.320254517E-1,9.787247314E0
7.449274292E0,-1.402583313E-1,-8.277786255E-2,9.829459534E0
7.499275667E0,-6.556365967E-2,-8.936416626E-2,9.974507904E0
7.549276666E0,-9.999206543E-2,-7.020401001E-2,9.737101593E0
7.599278667E0,-3.697311401E-2,-1.411564636E-1,9.876312103E0
7.649279667E0,-1.814227295E-1,-2.874023438E-2,9.883497162E0
7.699280667E0,-2.574645996E-2,-1.113684082E-1,9.956994324E0
7.749281666E0,-8.292755127E-2,-9.355545044E-2,9.753567352E0
7.799282667E0,-3.427871704E-2,-1.555265808E-1,9.719887390E0
7.849283667E0,1.451980591E-2,-2.649490356E-2,9.920170898E0
7.899284667E0,-2.417472839E-1,-1.459465027E-1,9.916578369E0
7.949285667E0,-3.382965088E-2,-1.017883301E-2,1.005025040E1
7.999286667E0,-7.364685059E-2,-1.260379028E-1,9.739945679E0
8.049288667E0,-1.101708984E-1,-1.510359192E-1,1.000459534E1
8.099289667E0,-9.011260986E-2,-1.526824951E-2,9.889933777E0
8.149290667E0,-1.270857239E-1,-1.231938171E-1,9.904902649E0
8.199291667E0,3.652404785E-2,-7.529342651E-2,9.881401520E0
8.249292667E0,-1.450483704E-1,-8.412506104E-2,9.830507355E0
8.299293667E0,7.334747314E-3,-4.370910645E-2,9.867031403E0
8.349294667E0,-1.219963074E-1,-4.221221924E-2,9.788145447E0
8.399295666E0,5.029541016E-2,-1.149609375E-1,1.013153137E1
8.449296667E0,-7.259902954E-2,-6.361770630E-2,9.710756378E0
8.499297542E0,4.790039062E-3,-1.945953369E-3,1.000294876E1
8.549298542E0,-1.417552185E-1,-2.245330811E-3,9.787397003E0
8.599299542E0,-9.190887451E-2,-1.300794983E-1,9.844428406E0
8.649300541E0,1.242416382E-2,1.167572021E-2,9.952054596E0
8.699301542E0,-1.146615601E-1,-3.457809448E-2,1.001417542E1
8.749302542E0,-3.981719971E-2,-6.945556641E-2,9.838141479E0
8.799303542E0,-7.963439941E-2,-8.008346558E-2,9.819280701E0
8.849305541E0,-8.711883545E-2,-5.822891235E-2,9.845326538E0
8.899306542E0,3.547622681E-2,-1.990859985E-2,9.916578369E0
8.949307542E0,-9.879455566E-2,-7.694000244E-2,9.751022644E0
8.999308542E0,1.646575928E-3,-8.607101440E-2,9.982890472E0
9.049309541E0,-1.612147522E-1,-1.945953369E-3,9.901609497E0
9.099310542E0,3.502716064E-2,-6.960525513E-2,9.852661285E0
9.149311542E0,-1.607656860E-1,-6.541397095E-2,9.933193817E0
9.199312542E0,2.679428101E-2,1.272354126E-2,9.975855103E0
9.249313542E0,-1.166075134E-1,-6.496490479E-2,9.708660736E0
9.299314542E0,1.826202393E-2,-5.269042969E-2,1.002390518E1
9.349315542E0,-1.438508606E-1,-1.416055298E-1,9.711504822E0
9.399316542E0,8.158035278E-2,1.332229614E-2,9.951904907E0
9.449317542E0,-1.032852173E-1,-2.095642090E-2,9.827214203E0
9.499318292E0,-1.496887207E-2,-1.718426514E-1,9.985435181E0
9.549319291E0,3.547622681E-2,4.550537109E-2,9.901759186E0
9.599319292E0,-1.086740112E-1,-8.187973022E-2,9.965077515E0
9.649320292E0,-6.735992432E-2,-9.445358276E-2,9.729916534E0
9.699321292E0,1.526824951E-2,-7.229965210E-2,9.884245605E0
9.749322291E0,-1.597178650E-1,-1.541793823E-2,9.946366425E0
9.799323292E0,1.257385254E-2,-2.544708252E-3,9.939929810E0
9.849324292E0,-3.203338623E-2,-9.235794067E-2,9.604327698E0
9.899325292E0,-8.996292114E-2,-2.574645996E-2,1.010668304E1
9.949326292E0,-5.448669434E-2,-5.388793945E-3,9.767638092E0
9.999327292E0,3.023712158E-2,-6.870712280E-2,9.876611481E0
1.004932829E1,-5.927673340E-2,-8.068222046E-2,9.797426147E0
1.009932929E1,-9.729766846E-2,1.856140137E-2,1.010563522E1
1.014933029E1,3.592529297E-2,5.538482666E-2,9.829609222E0
1.019933129E1,-3.412902832E-2,-5.448669434E-2,9.799970856E0
1.024933229E1,-7.005432129E-2,2.529739380E-2,1.018736526E1
1.029933329E1,-4.430786133E-2,-1.017883301E-2,9.588161316E0
1.034933429E1,-5.209167480E-2,-9.430389404E-2,9.905651093E0
1.039933529E1,4.221221924E-2,5.987548828E-4,9.813592529E0
1.044933629E1,-7.140151978E-2,2.664459229E-2,9.926008759E0
1.049933721E1,-4.924758911E-2,2.095642090E-3,9.902208252E0
1.054933821E1,-1.643582153E-1,-8.038284302E-2,9.834698639E0
1.059933821E1,5.568420410E-2,9.430389404E-2,9.967173157E0
1.064933921E1,1.437011719E-2,2.993774414E-4,9.732161865E0
1.069934021E1,-3.293151855E-3,-1.324745178E-1,9.798174591E0
1.074934121E1,-2.814147949E-2,4.969665527E-2,9.987381134E0
1.079934221E1,4.460723877E-2,5.373825073E-2,9.717941437E0
1.084934321E1,4.805007935E-2,1.032852173E-2,9.931696930E0
1.089934421E1,-1.787283325E-1,-3.712280273E-2,9.850865021E0
1.094934521E1,1.369651794E-1,-2.050735474E-2,9.803114319E0
1.099934621E1,1.227447510E-2,2.245330811E-2,9.885892181E0
1.104934721E1,-1.155596924E-1,-9.145980835E-2,9.766889648E0
1.109934821E1,-3.547622681E-2,1.050814819E-1,1.005174728E1
1.114934821E1,-3.592529297E-3,-5.119354248E-2,9.791438599E0
1.119934921E1,-1.046324158E-1,-3.203338623E-2,9.772877197E0
1.124935021E1,-6.885681152E-3,1.188528442E-1,9.971065063E0
1.129935121E1,-9.969268799E-2,-2.948867798E-2,9.927954712E0
1.134935221E1,1.137634277E-2,-5.089416504E-3,9.758806458E0
1.139935321E1,6.541397095E-2,4.700225830E-2,1.001103195E1
1.144935421E1,-1.972897339E-1,3.742218018E-3,9.731862488E0
1.149935579E1,3.173400879E-2,-6.750961304E-2,9.983339539E0
1.154935679E1,-3.008743286E-2,1.601669312E-2,9.887089691E0
1.159935679E1,-1.227447510E-2,-2.679428101E-2,9.843530273E0
1.164935779E1,-9.235794067E-2,-9.505233765E-2,9.821376343E0
1.169935879E1,-1.044827271E-1,-2.814147949E-2,9.938732300E0
1.174935979E1,1.273851013E-1,2.559677124E-2,9.935439148E0
1.179936079E1,-1.230441284E-1,-8.637039185E-2,9.832902374E0
1.184936179E1,1.290316772E-1,5.942642212E-2,1.014635056E1
1.189936279E1,-1.347198486E-1,-9.834548950E-2,9.676178284E0
1.194936279E1,1.839674377E-1,8.083190918E-3,9.997260590E0
1.199936379E1,-1.989363098E-1,2.784210205E-2,9.782606964E0
1.204936479E1,1.197509766E-2,-8.442443848E-2,9.808952179E0
1.209936579E1,-5.688171387E-2,9.729766846E-2,9.856553192E0
1.214936679E1,1.005908203E-1,-5.179229736E-2,9.995763702E0
1.219936779E1,2.065704346E-2,-1.960922241E-2,9.747430115E0
1.224936879E1,-6.137237549E-3,1.371148682E-1,1.031519943E1
1.229936879E1,-1.059796143E-1,-1.772314453E-1,9.518556061E0
1.234936979E1,4.775070190E-2,6.301895142E-2,1.008632538E1
1.239937079E1,3.323089600E-2,3.562591553E-2,1.002345612E1
1.244937179E1,4.849914551E-2,-5.269042969E-2,9.708511047E0
1.249937254E1,-3.218307495E-2,-3.817062378E-2,9.916129303E0
1.254937354E1,1.086740112E-1,-3.847000122E-2,9.805060272E0
1.259937354E1,-1.082249451E-1,-4.415817261E-2,9.798923035E0
1.264937454E1,4.370910645E-2,5.254074097E-2,1.006207581E1
1.269937554E1,4.011657715E-2,-3.188369751E-2,9.839039612E0
1.274937654E1,-2.335144043E-2,1.796264648E-3,9.886341248E0
1.279937754E1,3.158432007E-2,3.487747192E-2,9.973011017E0
1.284937854E1,-6.481521606E-2,-5.763015747E-2,9.801018677E0
1.289937854E1,3.038681030E-2,3.427871704E-2,9.966424713E0
1.294937954E1,3.472778320E-2,-6.227050781E-2,9.735754395E0
