"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631219514518E9,"2025-03-10 19:26:59.515 UTC+01:00"
"PAUSE",2.171742279164027E1,1.741631241232156E9,"2025-03-10 19:27:21.232 UTC+01:00"
