"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.975341677E-2,-1.091613770E0,6.445816040E0,-5.309014893E1
7.006541663E-2,-1.991134644E0,6.119979858E0,-5.292980957E1
1.203774167E-1,-1.051132202E0,8.860076904E0,-5.228167725E1
1.706894166E-1,-4.025726318E-1,8.597831726E0,-5.222055054E1
2.210014167E-1,-4.657440186E-1,7.129226685E0,-5.231509399E1
2.713134168E-1,-1.001266479E0,4.753707886E0,-5.322570801E1
3.216254166E-1,-2.511032104E0,4.267143250E0,-5.272772217E1
3.719374167E-1,-3.789871216E0,4.312774658E0,-5.311248779E1
4.222495416E-1,-4.095489502E0,4.338531494E0,-5.303588867E1
4.725615417E-1,-4.543136597E0,4.495880127E0,-5.286776733E1
5.228725418E-1,-4.380020142E0,4.450889587E0,-5.296890259E1
5.731845417E-1,-4.164779663E0,4.507270813E0,-5.295046997E1
6.234965418E-1,-4.484909058E0,4.532119751E0,-5.270712280E1
6.738085416E-1,-4.931472778E0,4.042358398E0,-5.335232544E1
7.241205417E-1,-5.487274170E0,3.885055542E0,-5.306207275E1
7.744325418E-1,-5.872314453E0,3.680183411E0,-5.360696411E1
8.247445417E-1,-5.824981689E0,3.966773987E0,-5.268847656E1
8.750565418E-1,-5.390899658E0,3.689224243E0,-5.313900757E1
9.253685416E-1,-5.609329224E0,3.789665222E0,-5.250283813E1
9.756805417E-1,-5.346282959E0,3.669578552E0,-5.286761475E1
1.025992542E0,-5.370590210E0,3.819793701E0,-5.345269775E1
1.076304542E0,-5.433609009E0,4.608291626E0,-5.248281860E1
1.126615542E0,-5.374755859E0,4.629936218E0,-5.304342651E1
1.176927542E0,-5.594833374E0,5.060562134E0,-5.287408447E1
1.227239542E0,-5.822525024E0,5.203834534E0,-5.284014893E1
1.277551542E0,-5.640411377E0,5.264419556E0,-5.294488525E1
1.327863542E0,-5.380615234E0,5.401603699E0,-5.287103271E1
1.378175542E0,-5.258666992E0,5.585220337E0,-5.293969727E1
1.428486792E0,-5.080520630E0,6.297767639E0,-5.321990967E1
1.478798792E0,-5.437942505E0,5.992820740E0,-5.341845703E1
1.529110792E0,-5.796051025E0,6.167602539E0,-5.312948608E1
1.579422792E0,-5.325088501E0,6.562438965E0,-5.319134521E1
1.629734792E0,-5.551818848E0,6.411941528E0,-5.310153198E1
1.680046792E0,-5.532150269E0,7.121849060E0,-5.271755981E1
1.730358792E0,-5.191116333E0,7.236389160E0,-5.357714844E1
1.780669792E0,-5.335525513E0,7.696594238E0,-5.316876221E1
1.830981792E0,-5.439971924E0,7.912025452E0,-5.289706421E1
1.881293792E0,-5.459167480E0,8.421257019E0,-5.274502563E1
1.931605792E0,-5.487899780E0,8.227561951E0,-5.264007568E1
1.981917792E0,-5.308425903E0,8.718711853E0,-5.196173096E1
2.032229792E0,-4.795608521E0,8.781791687E0,-5.207708740E1
2.082541792E0,-4.925140381E0,9.461280823E0,-5.208914185E1
2.132853792E0,-4.402297974E0,9.370094299E0,-5.154254150E1
2.183165792E0,-4.415176392E0,9.802223206E0,-5.171371460E1
2.233477792E0,-4.472213745E0,9.665519714E0,-5.123852539E1
2.283789792E0,-4.614242554E0,1.011657715E1,-5.153558350E1
2.334101792E0,-4.527603149E0,1.013878632E1,-5.152014160E1
2.384413792E0,-4.644989014E0,1.072478485E1,-5.134317017E1
2.434725458E0,-4.532531738E0,1.062316895E1,-5.143151855E1
2.485037458E0,-5.161712646E0,1.094602966E1,-5.117352295E1
2.535349458E0,-4.999771118E0,1.039151001E1,-5.139538574E1
2.585661458E0,-4.891235352E0,1.083802032E1,-5.122439575E1
2.635973458E0,-4.895156860E0,1.087394714E1,-5.075418091E1
2.686285458E0,-5.236358643E0,1.074739838E1,-5.162423706E1
2.736597458E0,-4.856857300E0,1.107861328E1,-5.119424438E1
2.786909458E0,-5.385543823E0,1.114498901E1,-5.152432251E1
2.837221458E0,-5.387084961E0,1.113905334E1,-5.087930298E1
2.887533458E0,-5.245269775E0,1.099169159E1,-5.135168457E1
2.937845458E0,-5.450653076E0,1.133631134E1,-5.111773682E1
2.988157458E0,-5.334564209E0,1.112496948E1,-5.135537720E1
3.038469458E0,-5.146240234E0,1.120976257E1,-5.136245728E1
3.088781458E0,-5.285186768E0,1.154709625E1,-5.106100464E1
3.139093458E0,-5.032012939E0,1.156532288E1,-5.078305054E1
3.189404458E0,-5.126800537E0,1.156080627E1,-5.154110718E1
3.239716458E0,-4.979766846E0,1.174288177E1,-5.123007202E1
3.290028458E0,-5.478363037E0,1.183669281E1,-5.138427734E1
3.340340458E0,-5.047042847E0,1.193125153E1,-5.060656738E1
3.390652458E0,-5.232925415E0,1.160186768E1,-5.107223511E1
3.440964167E0,-5.277374268E0,1.209027863E1,-5.085937500E1
3.491276167E0,-5.380615234E0,1.184161377E1,-5.119210815E1
3.541588167E0,-5.326766968E0,1.209501648E1,-5.063839722E1
3.591900167E0,-5.183303833E0,1.195928955E1,-5.045010376E1
3.642212167E0,-4.900741577E0,1.211460876E1,-5.093130493E1
3.692524167E0,-5.101242065E0,1.240232849E1,-5.095614624E1
3.742836167E0,-5.542892456E0,1.206111908E1,-5.101455688E1
3.793148167E0,-5.493515015E0,1.220259857E1,-5.060800171E1
3.843460167E0,-5.238601685E0,1.159947205E1,-5.061785889E1
3.893772167E0,-5.234146118E0,1.201939392E1,-5.106359863E1
3.944084167E0,-5.436172485E0,1.232448578E1,-5.113562012E1
3.994395167E0,-5.389450073E0,1.217350769E1,-5.096087646E1
4.044707167E0,-5.225143433E0,1.219398499E1,-5.070953369E1
4.095019167E0,-5.640045166E0,1.202947235E1,-5.110177612E1
4.145331167E0,-5.468048096E0,1.217956543E1,-5.100546265E1
4.195643167E0,-5.344802856E0,1.197784424E1,-5.089846802E1
4.245955167E0,-5.274551392E0,1.182785797E1,-5.058303833E1
4.296267167E0,-5.384429932E0,1.209985352E1,-5.097509766E1
4.346579167E0,-5.094390869E0,1.193456268E1,-5.107028198E1
4.396890833E0,-5.315505981E0,1.195326996E1,-5.080844116E1
4.447202833E0,-5.408187866E0,1.199202728E1,-5.144848633E1
4.497514833E0,-5.768417358E0,1.204193115E1,-5.087652588E1
4.547826833E0,-5.566894531E0,1.185083008E1,-5.100747681E1
4.598138833E0,-5.772369385E0,1.195975494E1,-5.085156250E1
4.648450833E0,-5.747680664E0,1.168035889E1,-5.099203491E1
4.698762833E0,-6.002593994E0,1.208245087E1,-5.058435059E1
4.749074833E0,-5.865188599E0,1.220507812E1,-5.086813354E1
4.799385833E0,-5.899551392E0,1.217032623E1,-5.057556152E1
4.849697833E0,-5.468154907E0,1.203060913E1,-5.045349121E1
4.900009833E0,-5.522033691E0,1.214064026E1,-5.053622437E1
4.950321833E0,-5.738250732E0,1.156556702E1,-5.084765625E1
5.000633833E0,-5.549346924E0,1.225473022E1,-5.078848267E1
5.050945833E0,-5.782882690E0,1.191730499E1,-5.073934937E1
5.101257833E0,-5.619842529E0,1.219830322E1,-5.060668945E1
5.151569833E0,-5.723968506E0,1.216636658E1,-5.065505981E1
5.201881833E0,-5.593643188E0,1.251029968E1,-5.072946167E1
5.252193833E0,-5.367919922E0,1.222550964E1,-5.129260254E1
5.302505833E0,-5.728698730E0,1.259165955E1,-5.092758179E1
5.352817833E0,-5.525192261E0,1.248699951E1,-5.125753784E1
5.403130042E0,-5.532257080E0,1.221973419E1,-5.117486572E1
5.453442042E0,-5.576187134E0,1.254884338E1,-5.028222656E1
5.503754042E0,-5.597488403E0,1.219033813E1,-5.077423096E1
5.554066042E0,-5.891937256E0,1.217366791E1,-5.088565063E1
5.604377042E0,-5.594482422E0,1.222938538E1,-5.071453857E1
5.654689042E0,-5.779098511E0,1.207822418E1,-5.115072632E1
5.705001042E0,-5.535583496E0,1.217663574E1,-5.102313232E1
5.755313042E0,-5.556854248E0,1.242513275E1,-5.061096191E1
5.805625042E0,-5.616210938E0,1.269389343E1,-5.079144287E1
5.855937042E0,-5.674392700E0,1.252446747E1,-5.053079224E1
5.906249042E0,-5.572509766E0,1.239877319E1,-5.057901001E1
5.956561042E0,-5.671386719E0,1.264736938E1,-5.016448975E1
6.006873042E0,-5.869705200E0,1.245513153E1,-5.122900391E1
6.057185042E0,-5.720077515E0,1.298357391E1,-5.052627563E1
6.107497042E0,-5.606826782E0,1.251132202E1,-5.082971191E1
6.157809042E0,-5.529769897E0,1.273884583E1,-5.059558105E1
6.208121042E0,-5.398895264E0,1.304945374E1,-5.072872925E1
6.258433042E0,-5.224807739E0,1.291629028E1,-5.068914795E1
6.308745042E0,-5.697570801E0,1.255059052E1,-5.061654663E1
