"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.144416794E-3,-1.046773224E0,1.391506348E0,9.511371002E0
5.245641666E-2,-1.351389771E0,1.440753937E0,9.918674011E0
1.027684167E-1,1.554816742E0,-1.903741150E0,8.045469360E0
1.530804166E-1,-1.541344757E0,1.633852386E0,1.184501816E1
2.033914167E-1,-3.721261597E-1,1.669029236E-1,9.535171509E0
2.537034168E-1,-7.002438354E-1,1.432670746E0,8.049960022E0
3.040154167E-1,-1.646575928E-1,1.717229004E0,8.989406433E0
3.543274167E-1,3.071612549E-1,1.055904236E0,9.484127655E0
4.046395416E-1,-3.356021118E-1,1.631457367E0,1.012120285E1
4.549515417E-1,-2.683918762E-1,1.627864838E0,9.720037079E0
5.052635416E-1,4.034111023E-1,1.323098602E0,9.516310730E0
5.555755417E-1,-1.535806274E-1,1.672172699E0,1.046039749E1
6.058875418E-1,-5.348377991E-1,1.681603088E0,1.022912842E1
6.561995416E-1,-3.501219177E-1,1.594633942E0,1.018092865E1
7.065115417E-1,-5.444178772E-1,1.406026154E0,9.028624878E0
7.568225416E-1,2.656974792E-1,1.420246582E0,9.959239655E0
8.071345417E-1,1.663041687E-1,1.510209503E0,9.379495239E0
8.574465418E-1,3.790118408E-1,1.426982574E0,9.845775604E0
9.077585416E-1,1.013392639E-1,1.735041962E0,9.889484711E0
9.580705417E-1,1.016386414E-1,1.486558685E0,9.559121704E0
1.008382542E0,-1.631607056E-2,1.491049347E0,9.427096252E0
1.058694542E0,-2.619552612E-1,1.457219696E0,9.952803040E0
1.109006542E0,3.743714905E-1,1.426683197E0,9.770182800E0
1.159318542E0,5.927673340E-2,1.273102570E0,9.670639801E0
1.209630542E0,3.014730835E-1,1.382375336E0,1.000249969E1
1.259942542E0,1.511856079E-2,1.193318481E0,9.602082367E0
1.310254542E0,1.619631958E-1,1.253792725E0,9.710756378E0
1.360565542E0,1.115180969E-1,1.204694824E0,9.851014709E0
1.410876792E0,3.891906738E-2,1.255289612E0,9.823771362E0
1.461188792E0,-3.338058472E-2,1.260229340E0,9.902507629E0
1.511500792E0,6.750961304E-2,1.187330933E0,9.898466034E0
1.561812792E0,9.445358276E-2,1.099763031E0,9.812694397E0
1.612124792E0,1.499880981E-1,9.857002258E-1,9.861941986E0
1.662436792E0,-5.194198608E-2,1.038540344E0,9.506281586E0
1.712748792E0,1.303788757E-1,8.128097534E-1,9.846224670E0
1.763060792E0,7.394622803E-2,8.758287048E-1,9.604178009E0
1.813372792E0,-1.166075134E-1,1.269210663E0,9.871671753E0
1.863684792E0,1.121168518E-1,8.725355530E-1,9.621092834E0
1.913996792E0,4.191284180E-2,1.073717194E0,9.722432098E0
1.964308792E0,-9.295669556E-2,8.958869934E-1,9.844578094E0
2.014619792E0,7.274871826E-2,4.927752686E-1,9.641749878E0
2.064931792E0,-1.185534668E-1,3.297642517E-1,1.001881577E1
2.115243792E0,1.261875916E-1,2.740800476E-1,9.537865906E0
2.165555792E0,-1.514849854E-1,1.872605896E-1,9.978100433E0
2.215867792E0,1.151106262E-1,8.726852417E-2,9.898316345E0
2.266179792E0,5.463638306E-2,-9.864486694E-2,9.749825134E0
2.316491792E0,1.784289551E-1,-1.005908203E-1,9.981692963E0
2.366803792E0,1.945953369E-2,1.517843628E-1,1.046189438E1
2.417116458E0,-7.424560547E-2,3.799099731E-1,1.029768585E1
2.467428458E0,6.481521606E-2,4.008663940E-1,1.013362701E1
2.517740458E0,-1.716929626E-1,3.053649902E-1,1.002136047E1
2.568052458E0,6.436614990E-2,1.740879822E-1,9.825417938E0
2.618364458E0,-1.222956848E-1,2.086660767E-1,9.904603271E0
2.668676458E0,-1.288819885E-1,1.785786438E-1,9.899064789E0
2.718987458E0,8.831634521E-3,1.190025330E-1,1.008692413E1
2.769299458E0,3.143463135E-2,8.906478882E-2,9.674831085E0
2.819611458E0,1.163081360E-1,5.553451538E-2,9.935139771E0
2.869923458E0,1.070274353E-1,1.437011719E-2,9.840536499E0
2.920235458E0,6.900650024E-2,8.068222046E-2,9.873617706E0
2.970547458E0,6.421646118E-2,2.799179077E-2,9.834548950E0
3.020859458E0,1.453477478E-1,-4.924758911E-2,9.836345215E0
3.071171458E0,1.760339355E-1,4.400848389E-2,1.001492386E1
3.121483458E0,1.528321838E-1,2.245330811E-3,9.828860779E0
3.171795458E0,7.125183105E-2,-8.232879639E-3,9.911788330E0
3.222107458E0,1.219963074E-1,1.766326904E-2,9.948013000E0
3.272419458E0,7.349716187E-2,-7.903564453E-2,9.765243073E0
3.322731458E0,-4.430786133E-2,-8.981323242E-2,9.796827393E0
3.373043458E0,1.815724182E-1,-5.987548828E-4,1.005653732E1
3.423355167E0,1.646575928E-2,-1.422042847E-2,9.993218994E0
3.473667167E0,2.709365845E-2,-2.320175171E-2,9.937534790E0
3.523978167E0,1.121168518E-1,-5.628295898E-2,1.000399658E1
3.574290167E0,-4.355941772E-2,-5.852828979E-2,9.882000275E0
3.624602167E0,3.921844482E-2,-1.603166199E-1,9.750274200E0
3.674914167E0,-4.640350342E-2,-2.034269714E-1,9.891280975E0
3.725226167E0,6.571334839E-2,-1.112187195E-1,9.828561401E0
3.775538167E0,1.311273193E-1,-8.801696777E-2,1.000714005E1
3.825850167E0,-4.041595459E-3,-1.462458801E-1,9.810000000E0
3.876162167E0,6.361770630E-2,-1.428030396E-1,1.000010468E1
3.926474167E0,1.601669312E-2,-1.481918335E-1,9.758357391E0
3.976786167E0,1.167572021E-2,-1.835183716E-1,9.753417664E0
4.027098167E0,-4.805007935E-2,-6.256988525E-2,1.008033783E1
4.077410167E0,4.550537109E-2,-1.197509766E-1,9.853858795E0
4.127722167E0,-9.131011963E-3,-8.861572266E-2,9.891580353E0
4.178034167E0,3.278182983E-2,-6.256988525E-2,9.941726074E0
4.228346167E0,1.122665405E-2,-7.694000244E-2,9.891131287E0
4.278658167E0,-1.317260742E-2,-7.589218140E-2,9.898016968E0
4.328969167E0,7.933502197E-2,-1.263372803E-1,9.848619690E0
4.379281167E0,3.742218018E-2,-1.061293030E-1,9.776469727E0
4.429592833E0,9.774673462E-2,-8.696914673E-2,9.979297943E0
