"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.740832813E-4,-9.577084351E-1,4.679269409E-1,9.728419647E0
5.017708335E-2,-2.185455322E-1,1.751358032E-2,9.676777039E0
1.001800832E-1,-4.025129700E-1,1.761836243E-1,1.013886612E1
1.501830833E-1,-1.134640503E-1,1.182540894E-2,9.846823425E0
2.001870833E-1,-4.251159668E-1,1.204994202E-1,9.849817200E0
2.501904166E-1,-6.990463257E-2,-5.239105225E-3,9.633966064E0
3.001934167E-1,-5.315446472E-1,9.580078125E-2,1.014410522E1
3.501974167E-1,2.784210205E-2,-2.811154175E-1,9.263336792E0
4.302024166E-1,-2.992277527E-1,9.235794067E-2,1.035920792E1
4.802054167E-1,-2.354603577E-1,-1.454974365E-1,9.527238007E0
5.302084165E-1,-2.146536255E-1,-2.333647156E-1,9.900112610E0
5.802114166E-1,-1.832189941E-1,-2.050735474E-2,9.888736267E0
6.302154167E-1,-2.194436646E-1,-3.137475586E-1,9.713750153E0
6.802184167E-1,-5.499563599E-1,-1.815724182E-1,9.495503998E0
7.302214166E-1,-1.216969299E-1,-9.415420532E-2,1.007734406E1
7.802244166E-1,-3.832031250E-1,-1.965412903E-1,9.581425323E0
8.302284167E-1,6.182144165E-2,-6.421646118E-2,9.785900116E0
8.802314166E-1,-3.637435913E-1,-1.923500061E-1,9.673783264E0
9.302344166E-1,-1.158590698E-1,5.284011841E-2,9.898765411E0
9.802374167E-1,-2.170486450E-1,-2.019300842E-1,1.004650818E1
1.030241417E0,-1.311273193E-1,-5.119354248E-2,9.857002258E0
1.080244417E0,-6.122268677E-2,-8.966354370E-2,1.022194336E1
1.130247417E0,-4.258644104E-1,-8.143066406E-2,9.581425323E0
1.180250417E0,3.233276367E-2,-1.954934692E-1,9.928254089E0
1.230253417E0,-1.782792664E-1,-2.155517578E-1,9.774673462E0
1.280257792E0,-3.499722290E-1,-4.805007935E-2,9.696835327E0
1.330260792E0,-5.538482666E-2,-2.963836670E-2,1.036309982E1
1.380263792E0,-1.845661926E-1,1.496887207E-3,9.741143188E0
1.430266792E0,-1.209484863E-1,-8.981323242E-3,9.819280701E0
1.480269792E0,-4.481680298E-1,-1.707948303E-1,9.744586029E0
1.530273792E0,-2.580633545E-1,-1.188528442E-1,9.884395294E0
1.580276792E0,-1.273851013E-1,9.654922485E-2,9.965676270E0
1.630279792E0,-4.138893127E-1,-1.023870850E-1,9.763446808E0
1.680282792E0,3.397933960E-2,-3.876937866E-2,9.829908600E0
1.730285792E0,-3.124003601E-1,7.334747314E-3,1.012509476E1
1.780288792E0,-1.704954529E-1,-1.026864624E-1,9.718839569E0
1.830292792E0,-2.073188782E-1,-2.769241333E-2,9.729467468E0
1.880295792E0,-1.823208618E-1,4.939727783E-2,1.003079086E1
1.930298792E0,-4.038601685E-1,-7.319778442E-2,9.741292877E0
1.980301792E0,-3.118016052E-1,-3.966751099E-2,9.976154480E0
2.030304792E0,-2.622546387E-1,-1.692979431E-1,9.730964355E0
2.080307792E0,-1.288819885E-1,-3.592529297E-2,9.752220154E0
2.130311792E0,-1.686991882E-1,-4.116439819E-2,1.016266663E1
2.180314792E0,-3.483256531E-1,-6.735992432E-2,9.876012726E0
2.230317792E0,-6.406677246E-2,4.326004028E-2,9.685159607E0
2.280320917E0,-2.266287231E-1,-1.402583313E-1,9.977052612E0
2.330323917E0,-2.362088013E-1,3.158432007E-2,9.898316345E0
