"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631496547935E9,"2025-03-10 19:31:36.548 UTC+01:00"
"PAUSE",3.924785795831122E1,1.741631535795179E9,"2025-03-10 19:32:15.795 UTC+01:00"
