"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.732874895E-3,-4.734654236E-1,4.469705200E-1,8.755293274E0
5.135287496E-2,-1.320254517E-1,5.224136353E-1,1.007075775E1
1.009738749E-1,3.113525391E-2,5.520520020E-1,9.742640076E0
1.505948750E-1,1.462458801E-1,3.095562744E-1,9.592651978E0
2.002148749E-1,3.167413330E-1,5.334906006E-1,9.777667236E0
2.498358750E-1,-5.269042969E-2,5.352868652E-1,9.531129913E0
2.994558749E-1,1.160087585E-1,4.230203247E-1,9.511520691E0
3.490768749E-1,-2.483335876E-1,5.733078003E-1,9.530381470E0
3.986968750E-1,4.580474854E-2,7.457492065E-1,9.834548950E0
4.483178749E-1,1.179547119E-1,5.679190063E-1,9.616153107E0
4.979388750E-1,-2.264790344E-1,5.011578369E-1,9.621691589E0
5.475588749E-1,-1.414558411E-1,5.204676819E-1,9.598040771E0
5.971798749E-1,-1.719923401E-1,7.324269104E-1,9.707762604E0
6.467998750E-1,1.537303162E-1,5.731581116E-1,9.616901550E0
6.964208749E-1,-9.834548950E-2,7.450007629E-1,9.697733459E0
7.460408750E-1,-1.784289551E-1,4.926255798E-1,9.490264893E0
7.956618749E-1,-2.234852600E-1,6.141728210E-1,9.834998016E0
8.452818750E-1,2.529739380E-2,6.509962463E-1,9.724378052E0
8.949028749E-1,-9.580078125E-3,7.176077271E-1,9.768835602E0
9.445221249E-1,3.802093506E-2,6.704557800E-1,9.680219879E0
9.941431249E-1,-7.858657837E-2,6.481521606E-1,9.816286926E0
1.043764125E0,2.016307068E-1,5.285508728E-1,9.665101318E0
1.093384125E0,-9.924362183E-2,5.721102905E-1,9.756411438E0
1.143005125E0,-2.833607483E-1,5.568420410E-1,9.546847229E0
1.192625125E0,-1.975891113E-2,5.221142578E-1,9.699080658E0
1.242246125E0,1.282832336E-1,5.327421570E-1,9.654772797E0
1.291866125E0,-1.239422607E-1,6.765930176E-1,9.697434082E0
1.341487125E0,1.032852173E-2,6.427633667E-1,9.614207153E0
1.391107125E0,-4.999603271E-2,5.998027039E-1,9.682764587E0
1.440728125E0,-1.207987976E-1,5.927673340E-1,9.670639801E0
1.490348125E0,5.538482666E-2,6.393205261E-1,9.769883423E0
1.539969125E0,-1.332229614E-1,6.438111877E-1,9.635163574E0
1.589589125E0,-1.200503540E-1,4.930746460E-1,9.674531708E0
1.639210125E0,1.115180969E-1,6.316864014E-1,9.639803925E0
1.688830125E0,-1.383123779E-1,5.679190063E-1,9.624685364E0
1.738451125E0,2.694396973E-3,5.586383057E-1,9.719887390E0
1.788071125E0,9.116043091E-2,6.104306030E-1,9.764494629E0
1.837692125E0,-8.771759033E-2,6.435118103E-1,9.879455566E0
1.887312125E0,-1.110690308E-1,5.147795105E-1,9.652078400E0
1.936933125E0,-1.974394226E-1,6.755451965E-1,9.697883148E0
1.986553417E0,1.242416382E-2,5.560935974E-1,9.687404938E0
2.036174417E0,-8.442443848E-2,7.381150818E-1,9.748477936E0
2.085794417E0,-3.535647583E-1,4.800517273E-1,9.670190735E0
2.135415417E0,-8.038284302E-2,6.189628601E-1,9.767638092E0
2.185035417E0,-1.306782532E-1,5.278024292E-1,9.648635559E0
2.234656417E0,-1.080752563E-1,7.198530579E-1,9.680968323E0
2.284276417E0,-1.221459961E-1,3.493734741E-1,9.473499756E0
2.333897417E0,6.691085815E-2,6.084846497E-1,9.787696381E0
2.383517417E0,-5.718109131E-2,5.701643372E-1,9.581275635E0
2.433138417E0,-4.236190796E-2,6.712042236E-1,9.725725250E0
2.482758417E0,-3.017724609E-1,4.593946838E-1,9.657317505E0
2.532379417E0,-2.595602417E-1,8.872050476E-1,9.862840118E0
2.581999417E0,-9.310638428E-2,4.635859680E-1,9.646240540E0
2.631620417E0,9.580078125E-2,6.854246521E-1,9.817035370E0
2.681240417E0,-1.814227295E-1,4.095483398E-1,9.455986176E0
2.730861417E0,-3.064128113E-1,5.295986938E-1,9.748777313E0
2.780481417E0,-7.514373779E-2,6.818321228E-1,9.588610382E0
2.830102417E0,-2.553689575E-1,5.727090454E-1,9.706116028E0
2.879722417E0,9.280700684E-2,5.312452698E-1,9.673633575E0
2.929342417E0,-2.207908630E-1,6.486012268E-1,9.639803925E0
2.978963625E0,1.892065430E-1,5.047503662E-1,9.677824860E0
3.028583625E0,-2.627037048E-1,5.349874878E-1,9.612859955E0
3.078204625E0,-2.577639771E-1,4.948709106E-1,9.676477661E0
3.127824625E0,-4.760101318E-2,6.731501770E-1,9.667646027E0
3.177445625E0,-3.561094666E-1,5.912704468E-1,9.712402954E0
3.227065625E0,7.783813477E-2,6.638694763E-1,9.818831635E0
3.276686625E0,2.020797729E-2,5.782475281E-1,9.699380035E0
3.326306625E0,-3.097059631E-1,5.752537537E-1,9.608069916E0
3.375926625E0,-2.668949890E-1,6.068380737E-1,9.598639526E0
3.425547625E0,2.993774414E-4,7.134164429E-1,9.819729767E0
3.475167625E0,-4.505630493E-2,4.715194702E-1,9.657616882E0
3.524788625E0,-5.478607178E-2,4.640350342E-1,9.541757812E0
3.574408625E0,-2.281256104E-1,5.258564758E-1,9.687404938E0
3.624029625E0,2.103126526E-1,6.328839111E-1,9.694290619E0
3.673649625E0,-2.508782959E-1,5.565426636E-1,9.623787231E0
3.723269625E0,1.466949463E-1,5.240602112E-1,9.698930969E0
3.772890625E0,-2.674937439E-1,5.893244934E-1,9.653126221E0
3.822510625E0,-8.652008057E-2,6.445596313E-1,9.811646576E0
3.872131625E0,-1.196012878E-1,6.831793213E-1,9.774074707E0
3.921751625E0,-1.438508606E-1,3.873944092E-1,9.662107544E0
3.971372875E0,6.242019653E-2,6.396199036E-1,9.798623657E0
4.020992875E0,2.799179077E-2,5.987548828E-1,9.666747894E0
4.070612875E0,3.308120728E-2,6.173162842E-1,9.798024902E0
4.120233875E0,-3.891906738E-3,5.893244934E-1,9.655371552E0
4.169853875E0,-2.888992310E-2,6.985972595E-1,9.730515289E0
4.219474875E0,4.475692749E-2,7.961943054E-1,9.821226654E0
4.269094875E0,-1.107696533E-1,7.250921631E-1,9.683513031E0
