"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.872187497E-2,7.066116333E0,1.967282486E1,-4.917785645E1
1.183418749E-1,7.038818359E0,1.983681870E1,-4.932188416E1
1.679628750E-1,6.365707397E0,1.958773422E1,-4.926333618E1
2.175828749E-1,6.178863525E0,1.955392075E1,-4.945625305E1
2.672038750E-1,6.193572998E0,1.912063980E1,-4.904943848E1
3.168238749E-1,6.502883911E0,1.927211380E1,-4.900717163E1
3.664448749E-1,5.986068726E0,1.882764816E1,-4.923434448E1
4.160658750E-1,6.799209595E0,1.873700333E1,-4.927906799E1
4.656858749E-1,6.489562988E0,1.855888748E1,-4.929371643E1
5.153068750E-1,6.299545288E0,1.867365646E1,-4.956188965E1
5.649268749E-1,6.845153809E0,1.845206833E1,-4.944090271E1
6.145478749E-1,6.122283936E0,1.851959610E1,-4.943014526E1
6.641678750E-1,6.462493896E0,1.872989273E1,-4.938452148E1
7.137888749E-1,6.177200317E0,1.859803391E1,-4.930262756E1
7.634088750E-1,6.212081909E0,1.871585464E1,-4.963768005E1
8.130298749E-1,6.427490234E0,1.843889999E1,-4.932077026E1
8.626508750E-1,6.193359375E0,1.875251389E1,-4.943472290E1
9.122708749E-1,6.255325317E0,1.888170242E1,-4.910435486E1
9.618911250E-1,6.344390869E0,1.882612991E1,-4.945460510E1
1.011511125E0,6.473739624E0,1.895883560E1,-4.956871033E1
1.061132125E0,6.447738647E0,1.874499130E1,-4.930900574E1
1.110752125E0,6.708831787E0,1.881923294E1,-4.915980530E1
1.160373125E0,6.238906860E0,1.877491379E1,-4.901448059E1
1.209993125E0,6.451477051E0,1.884958267E1,-4.908369446E1
1.259614125E0,6.539474487E0,1.853590775E1,-4.899037170E1
1.309234125E0,6.459182739E0,1.878477859E1,-4.910421753E1
1.358855125E0,6.445434570E0,1.852592087E1,-4.928570557E1
1.408475125E0,6.030166626E0,1.866904831E1,-4.930265808E1
1.458096125E0,6.005294800E0,1.887374496E1,-4.885093689E1
1.507717125E0,6.315307617E0,1.894890976E1,-4.858738708E1
1.557337125E0,6.105682373E0,1.895994949E1,-4.910554504E1
1.606958125E0,6.422378540E0,1.893188858E1,-4.864288330E1
1.656578125E0,6.334243774E0,1.909375381E1,-4.895178223E1
1.706199125E0,6.388061523E0,1.899301529E1,-4.888221741E1
1.755819125E0,6.358993530E0,1.895308304E1,-4.897543335E1
1.805440125E0,6.563812256E0,1.902994156E1,-4.836874390E1
1.855060125E0,6.463241577E0,1.853001022E1,-4.902215576E1
1.904681125E0,6.536880493E0,1.881476974E1,-4.904765320E1
1.954301417E0,6.424377441E0,1.867041397E1,-4.914660645E1
2.003922417E0,6.520187378E0,1.876763535E1,-4.928950500E1
2.053542417E0,6.480499268E0,1.849974442E1,-4.924264526E1
2.103163417E0,6.085083008E0,1.837565994E1,-4.905867004E1
2.152783417E0,6.270126343E0,1.855796432E1,-4.909828186E1
2.202404417E0,6.303192139E0,1.835368729E1,-4.891795349E1
2.252024417E0,6.398437500E0,1.854278183E1,-4.917419434E1
2.301645417E0,6.083953857E0,1.840340805E1,-4.941262817E1
2.351265417E0,6.346374512E0,1.866010666E1,-4.906803894E1
2.400886417E0,6.534622192E0,1.835034561E1,-4.922486877E1
2.450506417E0,6.532821655E0,1.848865128E1,-4.876069641E1
2.500126417E0,6.694992065E0,1.856102371E1,-4.892176819E1
2.549747417E0,6.571319580E0,1.834236526E1,-4.907810974E1
2.599367417E0,6.373077393E0,1.830606461E1,-4.901593018E1
2.648988417E0,6.458755493E0,1.827425766E1,-4.948841858E1
2.698608417E0,6.368576050E0,1.795386887E1,-4.900434875E1
2.748229417E0,6.780883789E0,1.846914291E1,-4.913716125E1
2.797849417E0,6.550247192E0,1.858246994E1,-4.896656799E1
2.847470417E0,6.383773804E0,1.837429428E1,-4.874511719E1
2.897090417E0,6.580337524E0,1.820390701E1,-4.880784607E1
2.946711625E0,6.744430542E0,1.872777939E1,-4.920379639E1
2.996331625E0,6.472839355E0,1.867382431E1,-4.898776245E1
3.045951625E0,6.604705811E0,1.846664810E1,-4.906066895E1
3.095572625E0,6.635482788E0,1.849898148E1,-4.907055664E1
3.145192625E0,6.732620239E0,1.862441635E1,-4.850798035E1
3.194813625E0,6.900070190E0,1.838646317E1,-4.902404785E1
3.244433625E0,6.875381470E0,1.851041794E1,-4.906816101E1
3.294054625E0,6.751525879E0,1.848218918E1,-4.899765015E1
3.343674625E0,6.676269531E0,1.862419510E1,-4.917697144E1
3.393295625E0,6.662384033E0,1.850580215E1,-4.895945740E1
3.442915625E0,6.752578735E0,1.842258835E1,-4.907162476E1
3.492535625E0,6.862030029E0,1.840758133E1,-4.902906799E1
3.542156625E0,7.062088013E0,1.829906845E1,-4.882745361E1
3.591776625E0,6.810760498E0,1.824902725E1,-4.900494385E1
3.641397625E0,6.538894653E0,1.837059402E1,-4.903431702E1
3.691017625E0,6.922561646E0,1.840990067E1,-4.901644897E1
3.740638625E0,6.901641846E0,1.842737961E1,-4.867660522E1
3.790258625E0,6.939819336E0,1.809753799E1,-4.891783142E1
3.839878625E0,6.664642334E0,1.834081650E1,-4.919630432E1
3.889499625E0,6.421905518E0,1.822011185E1,-4.941284180E1
3.939119625E0,6.629211426E0,1.805643845E1,-4.980218506E1
3.988740875E0,6.658035278E0,1.798511887E1,-4.909729004E1
4.038360875E0,6.527694702E0,1.828837204E1,-4.958061218E1
4.087980875E0,6.625717163E0,1.829539871E1,-4.948077393E1
4.137601875E0,6.414169312E0,1.795458603E1,-4.903131104E1
4.187221875E0,6.372589111E0,1.790713882E1,-4.886384583E1
4.236842875E0,6.273269653E0,1.771171951E1,-4.915702820E1
4.286462875E0,6.132919312E0,1.767475510E1,-4.931449890E1
4.336082875E0,6.246276855E0,1.759923935E1,-4.915270996E1
4.385703875E0,6.178466797E0,1.741194534E1,-4.925399780E1
4.435323875E0,6.024139404E0,1.747490311E1,-4.951269531E1
4.484944875E0,6.136718750E0,1.748498917E1,-4.936994934E1
4.534564875E0,6.157073975E0,1.751694107E1,-4.926004028E1
4.584184875E0,6.081527710E0,1.724441910E1,-4.997361755E1
4.633805875E0,6.506454468E0,1.747217178E1,-4.942239380E1
4.683425875E0,5.935302734E0,1.745885086E1,-4.927055359E1
4.733046875E0,5.853103638E0,1.753544235E1,-4.914724731E1
4.782666875E0,6.302566528E0,1.769689560E1,-4.965562439E1
4.832286875E0,6.184936523E0,1.749386215E1,-4.922499084E1
4.881907875E0,6.125198364E0,1.749531174E1,-4.974418640E1
4.931527875E0,6.020706177E0,1.752070999E1,-4.936863708E1
4.981147792E0,6.315963745E0,1.745210648E1,-4.929289246E1
5.030768792E0,6.416351318E0,1.752461624E1,-4.906455994E1
5.080388792E0,6.121932983E0,1.760039139E1,-4.880744934E1
5.130008792E0,6.190170288E0,1.774707413E1,-4.918835449E1
5.179629792E0,6.377944946E0,1.810213852E1,-4.868186951E1
5.229249792E0,6.562988281E0,1.818165970E1,-4.870538330E1
5.278870792E0,6.010650635E0,1.800880051E1,-4.911621094E1
5.328490792E0,6.145523071E0,1.828726578E1,-4.898573303E1
