"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631360733989E9,"2025-03-10 19:29:20.734 UTC+01:00"
"PAUSE",2.599323683325201E1,1.741631386727062E9,"2025-03-10 19:29:46.727 UTC+01:00"
