"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741631295156296E9,"2025-03-10 19:28:15.156 UTC+01:00"
"PAUSE",2.213595504150726E1,1.741631317292279E9,"2025-03-10 19:28:37.292 UTC+01:00"
